indonesia,osing
mereka menyapu kunci dari bukit,wong-wong nyapu kunci teko puthuk
ibu membawa kunci di rumah,mak nggowo kunci nong umah
kamu memukul nasi ke bukit,riko nyampat sego nyang puthuk
saya membawa anak dari sungai,isun nggowo lare teko kali
saya memasak pisau di dapur,isun ngolah lading nong pawon
anak melihat anak,lare ndeleng lare
aku menyapu bunga,isun nyapu kembang
saya memasak nasi ke rumah,isun ngolah sego nyang umah
nenek memasak pisang dari sungai,embyah ngolah gedhang teko kali
mereka memukul anak,wong-wong nyampat lare
bapak mengambil anak di bukit,bapak njuwut lare nong puthuk
mereka melihat air,wong-wong ndeleng byanyu
dia membawa pisau dari sungai,yane nggowo lading teko kali
nenek menyimpan air di pasar,embyah nyimpen byanyu nong pasar
mereka membawa nasi,wong-wong nggowo sego
ibu melihat bunga,mak ndeleng kembang
bapak mengambil anak,bapak njuwut lare
mereka membawa anak dari rumah,wong-wong nggowo lare teko umah
saya mengambil pisang,isun njuwut gedhang
anak memukul buku,lare nyampat buku
aku menyimpan bunga ke pasar,isun nyimpen kembang nyang pasar
mereka memanggil anak ke rumah,wong-wong ngundang lare nyang umah
saya mengambil air dari dapur,isun njuwut byanyu teko pawon
dia menyapu nasi dari pasar,yane nyapu sego teko pasar
bapak menyapu pisau,bapak nyapu lading
mereka mencium pisang ke pasar,wong-wong ngambung gedhang nyang pasar
kamu mengambil sayur ke dapur,riko njuwut jangan nyang pawon
saya memasak pisang,isun ngolah gedhang
dia melihat pisau,yane ndeleng lading
nenek mencium kunci di dapur,embyah ngambung kunci nong pawon
kamu menyimpan anak,riko nyimpen lare
bapak memanggil buku di bukit,bapak ngundang buku nong puthuk
saya mengambil nasi dari pasar,isun njuwut sego teko pasar
ibu menyapu bunga,mak nyapu kembang
ibu melihat sayur dari rumah,mak ndeleng jangan teko umah
saya memasak pisang,isun ngolah gedhang
mereka memanggil kunci dari dapur,wong-wong ngundang kunci teko pawon
nenek menyimpan air,embyah nyimpen byanyu
aku menyimpan pisau di rumah,isun nyimpen lading nong umah
aku menyimpan air,isun nyimpen byanyu
aku mencium kunci dari pasar,isun ngambung kunci teko pasar
aku menyapu nasi,isun nyapu sego
